Origin,flights,avg_arr_delay,pct_delayed
HTS,2177,26.974642692485016,37.02342673403767
SCK,2880,23.45328238971865,36.145833333333336
LCK,4913,20.104715248009796,31.813555872175858
HGR,1051,20.784761904761904,31.68411037107517
IAG,1946,18.95611770779556,31.397738951695786
BET,3284,11.792567773378009,31.394640682095005
USA,4372,19.514790185737215,30.786825251601098
BRW,1796,13.353006681514477,30.734966592427615
SWF,2815,15.022483940042827,30.44404973357016
BQN,9624,17.21966461826893,30.133000831255195
PSM,1670,14.496398559423769,29.34131736526946
BLV,5419,17.956666666666667,29.00904225871932
ASE,29102,18.498583275742916,28.647515634664284
PSE,3232,11.968701580415246,26.91831683168317
RFD,3701,15.1226977248104,26.64144825722778
MVY,4378,16.532202612881044,25.925079945180446
PVU,6904,13.84584119610974,25.63731170336037
TTN,9069,9.999004755059161,25.239827985444922
PBG,3246,13.895305744286597,24.738139248305608
AKN,1496,3.7393939393939393,24.598930481283425
FLL,407003,9.723656234524862,24.1000680584664
SFB,44217,10.31284345338117,24.09706673903702
ORH,5226,12.597849049356636,24.052812858783007
DLG,1236,6.913430420711974,24.029126213592235
COD,2538,14.409576573011476,23.995271867612296
MIA,457792,10.131023954548342,23.958260520061515
MCO,681609,10.204536832539796,23.93733063970693
PGD,28990,10.568126689306258,23.670231114177305
SJU,144772,11.416371908507067,23.44928577349211
HDN,10908,8.510610932475885,23.377337733773377
EYW,37640,12.204145661267832,23.350159404888416
BWI,416559,6.058091036791872,22.794370065224854
FNT,12091,8.395358474927477,22.694566206269126
SPI,3314,9.636391159551923,22.48038624019312
MDW,354343,5.395886024024126,22.460440872262186
EGE,14213,12.119582949145329,22.37388306479983
ACK,6605,11.239902824172487,22.301286903860714
LAS,790625,6.803229385250319,22.26086956521739
DFW,1342745,9.048924276728057,22.224100629680244
DEN,1297708,7.032688352804298,22.169548157212564
EWR,536558,5.940027464058515,22.09900886763407
PIE,37079,7.668777913114089,21.82367377760997
PBI,116725,9.383934479765557,21.727136431784107
TOL,3115,7.528162214354683,21.701444622792938
CKB,2973,13.653288364249578,21.695257315842582
DAL,314200,5.545758658077683,21.6928707829408
GRI,4492,12.46839401384856,21.59394479073909
JAC,25537,11.159059528975503,21.235853859106392
JFK,517912,3.6300792077674715,21.045853349603792
OTH,1637,16.474586650336803,20.89187538179597
HPN,46728,8.446786113259432,20.826913199794557
AVL,45487,7.057281446367545,20.375052212720117
AZA,27661,5.794589687726942,20.317414410180398
GUC,3622,10.19047619047619,20.292655991165102
ISP,21036,5.147405042177001,20.227229511313936
SRQ,69276,8.165547191661842,20.207575495120967
STT,25508,7.099107071032098,20.068213893680415
COU,7179,10.576235688355208,19.98885638668338
GRK,10148,7.427120315581854,19.95467087110761
CLT,954660,6.096610973709957,19.95328179666059
STX,5629,8.017818959372773,19.861431870669747
HOU,247080,4.450546732780046,19.834871296745995
ORD,1199606,4.919393171592649,19.810754531071034
AUS,359448,6.671082526964905,19.69798134917985
MTJ,13288,6.223809523809524,19.66435881998796
XWA,6719,10.876828904150493,19.36300044649501
PIA,16124,6.979042288557214,19.083354006450012
IAH,570625,5.871388517038927,19.003198247535597
BOS,569881,2.5188065573539737,18.977821685579972
RSW,169234,6.251537049102648,18.824822435208056
CRW,14789,7.987735465510232,18.82480221786463
MSY,211304,5.640655681721165,18.741718093363115
DRO,16755,7.8719344419188895,18.72276932259027
TPA,340825,5.68246024651863,18.639477737842
PRC,3697,10.710333604556551,18.58263456856911
MFE,18427,8.117359413202934,18.50545395343789
FWA,23994,5.493171852161203,18.496290739351505
SAF,9372,7.267522739432851,18.405889884763123
SGF,35995,6.6316932587085455,18.394221419641617
PHL,422019,2.945272757498753,18.342302123838024
DCA,553788,3.256112240409661,18.327049340180718
CMX,3357,9.936195587358378,18.230563002680967
HHH,11117,5.935066111211737,18.224341099217416
LAW,4994,7.426482371794871,18.221866239487387
TYR,5621,4.893219434063001,18.21739903931685
TVC,19499,5.62161606821801,18.21119031745218
BZN,46801,4.990393069285699,18.196192389051514
FSD,33264,5.067138341110944,18.043530543530544
