Reporting_Airline,flights,avg_arr_delay,pct_delayed
AA,76098,19.174557577514527,29.293805356251152
B6,19246,13.522219904026706,28.91509924140081
MQ,19818,13.350354609929077,27.61630840649914
AS,14656,10.381648844429114,27.25846069868996
F9,14068,14.719330722677109,27.111174296275237
HA,6480,10.664710424710425,26.820987654320987
NK,20112,9.684378268014541,26.22315035799523
OH,15582,14.985842074779587,25.182903350019252
OO,54430,15.202837324281445,24.034539775858903
WN,111823,6.420730560060208,23.528254473587722
9E,16266,10.564893026697083,23.183327185540392
G4,8403,10.528209419077218,22.24205640842556
UA,54141,8.857359776308723,21.534511737869636
DL,73906,4.364911423998263,18.848266717181282
YX,21853,0.3206603989910571,16.995378208941563
