Reporting_Airline,flights,avg_arr_delay,pct_delayed
F9,203789,15.247771301638474,28.69683839657685
AA,969054,15.30791644067586,26.054791580242174
B6,236547,10.739641807003474,25.41609067119854
NK,256105,8.415318053615925,23.88200152281291
AS,241008,4.467857841321887,22.00922790944699
OH,224220,10.026784636500606,21.71706359825172
G4,115192,9.710381086680245,21.613480102784916
MQ,275970,6.457716014630408,20.81095771279487
WN,1407647,5.125102075541952,20.560126224827673
UA,747973,5.742943989016087,19.801784289005084
OO,736131,7.355390346729601,18.940107127671567
DL,1000027,3.6568229330564646,17.22603489705778
9E,195486,1.6819123195538057,15.797550719744635
HA,77708,4.246660569603133,15.439851752715295
YX,295889,-1.7943489126533156,14.043779930987634
