dep_hour,flights,avg_arr_delay,pct_delayed
0,738,6.639945652173913,20.32520325203252
1,333,16.08433734939759,27.32732732732733
2,124,3.5483870967741935,25.0
3,125,3.96,26.400000000000002
4,58,1.1724137931034482,13.793103448275861
5,13968,6.226597805035507,15.392325315005728
6,38361,3.142218620942025,15.111701988999243
7,35947,4.211117929264755,17.219795810498788
8,35428,4.888596118430373,19.31240826464943
9,30301,5.857639809170421,20.157750569288144
10,33895,8.4760565881378,22.531346806313614
11,32982,8.714120616769563,23.061063610454188
12,32190,10.879278099869085,24.38645542093818
13,32976,12.179110827483514,25.406356137797186
14,31343,12.642678868552412,26.704527326675816
15,31063,13.534254536062504,27.882046164246855
16,31000,14.098124191461837,28.319354838709675
17,33052,15.145361888005825,28.951349388841823
18,33209,16.085843646242076,30.14845373242193
19,27479,15.305479502062571,29.89919574948142
20,21743,15.059507334624966,29.338177804350824
21,16836,14.565955672068636,26.764076977904487
22,9905,10.403459087690907,22.786471479050984
23,3826,5.751765629087104,20.64819654992159
