route,flights,avg_arr_delay,pct_delayed
EYW-DFW,525,53.851351351351354,45.14285714285714
SJU-BDL,980,30.00204918032787,42.95918367346939
SJU-PHL,1413,28.221667854597293,41.54281670205237
BDL-SJU,981,28.72114402451481,40.77471967380224
DFW-GEG,680,34.76141384388807,40.14705882352941
DFW-BDL,576,21.612173913043478,39.75694444444444
CLT-SFO,1603,22.391113892365457,39.550842170929506
SAN-SFO,6266,21.249358974358973,39.083945100542614
DFW-MSN,1048,26.97323135755258,38.83587786259542
MIA-SFO,1504,22.68942436412316,38.630319148936174
DFW-CAE,709,36.294200848656295,38.5049365303244
DFW-SFO,3997,21.371964956195242,37.50312734550913
DFW-PBI,1104,24.09090909090909,37.5
JFK-BQN,618,14.715909090909092,37.055016181229774
PHL-SJU,1419,19.92569002123142,36.8569415081043
MIA-SAN,551,25.43302752293578,36.84210526315789
ASE-IAH,610,29.582089552238806,36.55737704918033
PSP-SFO,2269,19.410928476232787,36.40370207139709
DFW-BUF,504,20.94621513944223,36.11111111111111
DFW-RSW,1289,20.318040435458787,36.074476338246704
DFW-DSM,1197,25.805857740585775,36.00668337510442
DFW-MKE,1229,25.544489795918366,35.72009764035802
LAS-SFO,5675,18.049585318510676,35.41850220264317
DFW-FAT,1408,19.153627311522047,35.15625
ORD-HSV,725,19.13278008298755,34.89655172413793
DFW-SAV,967,24.805815160955348,34.74663908996898
MIA-CLE,649,14.830508474576272,34.20647149460709
DFW-MSY,2962,19.735184558076533,34.19986495611074
DFW-SAT,4439,22.329276538201487,33.9716152286551
DFW-GRR,1108,23.806684733514,33.935018050541515
DFW-EYW,527,31.473076923076924,33.776091081593925
CLT-MSN,948,18.75,33.755274261603375
DFW-SMF,1742,19.349425287356322,33.582089552238806
SEA-SFO,6513,15.218980343980345,33.578995854444955
CLT-SEA,1305,20.524615384615384,33.486590038314176
PHX-SFO,4736,17.17712957091524,33.38260135135135
MIA-IND,797,18.295226130653266,33.37515683814304
DFW-MCO,4834,19.99979253112033,33.367811336367396
SNA-SFO,4226,16.07745307674032,33.293894936109794
DFW-BNA,3482,19.48849913743531,33.2854681217691
FLL-PIT,1148,16.604366812227074,33.27526132404181
DEN-SFO,5482,15.496439656746395,33.272528274352425
DFW-TYS,1411,18.552164655784246,33.238837703756204
DFW-BOI,816,14.019607843137255,33.21078431372549
DFW-ECP,1043,21.95,33.17353787152445
BOS-SJU,2014,18.288413724515166,33.16782522343595
MDW-SEA,586,13.280276816608996,33.105802047781566
BUR-SFO,3072,15.716154349247875,33.04036458333333
BNA-SFO,600,16.442404006677798,32.83333333333333
DFW-CID,967,29.06054279749478,32.7817993795243
LAX-SFO,11422,14.929675153643547,32.77884783750656
PDX-SFO,3525,16.29732802728823,32.76595744680851
DFW-SAN,3463,18.592871631411185,32.746173837712966
DFW-PDX,2471,17.67234387672344,32.699312019425335
PHL-SEA,1037,12.399419729206963,32.690453230472514
SEA-PHL,1038,12.091876208897485,32.65895953757225
FLL-AUS,972,14.661506707946337,32.61316872427983
DFW-GSO,908,17.52375690607735,32.59911894273127
DFW-BWI,1548,15.304347826086957,32.55813953488372
PNS-DFW,1705,28.7677304964539,32.55131964809384
CLT-PHL,3909,23.102715163934427,32.540291634689176
BWI-SEA,582,10.986230636833046,32.47422680412371
SLC-SFO,3368,14.68192627824019,32.4228028503563
DFW-OMA,1500,18.63903743315508,32.4
DFW-RIC,977,15.127179487179488,32.3439099283521
RDU-SJU,567,21.058407079646017,32.27513227513227
SJU-DFW,935,22.187224669603523,32.19251336898395
DFW-RDU,2141,22.26451310861423,32.1345165810369
