route,flights,avg_arr_delay,pct_delayed
AUS-HNL,582,47.55172413793103,52.57731958762887
MRY-LAS,503,37.99801192842942,47.11729622266402
JFK-PSE,924,28.56815703380589,45.77922077922078
BDL-SJU,3516,30.624465355004276,44.59613196814562
RNO-JFK,746,54.72604588394062,43.029490616621985
SYR-FLL,554,30.072727272727274,42.96028880866426
ABQ-JFK,1053,33.95028680688336,42.07027540360874
LEX-FLL,585,39.779310344827586,42.05128205128205
SPI-PGD,552,29.361161524500908,41.84782608695652
PVD-PGD,643,26.230046948356808,41.52410575427683
LAX-CHS,536,23.93097014925373,41.23134328358209
MIA-PDX,501,24.253012048192772,41.11776447105788
SJU-BDL,3525,28.254493580599146,40.85106382978723
EWR-BQN,1406,26.26049822064057,40.82503556187766
SHV-LAS,510,23.023575638506877,40.78431372549019
EVV-SFB,515,29.988326848249027,40.0
BWI-LGA,1056,18.635071090047393,39.96212121212121
ASE-ATL,821,32.47256857855361,39.82947624847747
HTS-SFB,749,27.862115127175368,39.519359145527375
MEM-FLL,674,32.75970149253731,39.46587537091988
MYR-CVG,540,33.69016697588126,39.44444444444444
BUR-JFK,1542,30.115305422100207,39.364461738002596
SJU-DCA,1584,27.544061302681992,38.88888888888889
PSP-JFK,786,20.745849297573436,38.80407124681934
PBG-FLL,587,22.758561643835616,38.67120954003408
SNA-PVU,886,44.54648526077097,38.37471783295711
IDA-AZA,847,38.32387706855792,38.370720188902006
JFK-SMF,1262,17.802075019952113,38.35182250396196
DEN-SRQ,825,18.331713244228432,38.303030303030305
ONT-MCO,854,26.407494145199063,38.2903981264637
ANC-ATL,521,31.17658349328215,38.00383877159309
MEM-SFB,527,23.344106463878326,37.95066413662239
JFK-RNO,752,17.0421768707483,37.898936170212764
HTS-PIE,834,31.660240963855422,37.88968824940048
PBI-TTN,1197,24.31098072087175,37.761069340016704
LCK-PGD,794,25.79772439949431,37.657430730478595
EWR-SMF,1164,17.641247833622185,37.54295532646048
EGE-MIA,537,40.730550284629985,37.43016759776536
DFW-SYR,1190,26.17142857142857,37.3109243697479
SCK-LAS,2172,25.69429097605893,37.24677716390424
MSY-CVG,530,28.57547169811321,37.16981132075471
SRQ-DEN,822,23.336609336609335,37.104622871046224
JFK-BQN,2160,19.44217371110079,36.99074074074074
FWA-PGD,981,22.161389172625128,36.901121304791026
JAC-EWR,673,30.0,36.84992570579495
JFK-ABQ,1058,15.090823084200567,36.76748582230624
USA-FLL,1297,28.94049459041731,36.54587509637625
IDA-LAS,512,37.05078125,36.5234375
LAX-BDL,797,20.15994962216625,36.38644918444165
CKB-SFB,526,26.91444866920152,36.12167300380228
FLL-TYS,1468,26.418318523581682,35.967302452316076
PBI-PIT,504,19.589285714285715,35.91269841269841
DAL-PDX,553,14.605454545454545,35.62386980108499
PNS-MCO,1129,20.882196634189548,35.60673162090345
JAX-CVG,562,39.47864768683274,35.587188612099645
TRI-SFB,514,30.736842105263158,35.40856031128405
FCA-LAS,500,24.73,35.4
SFB-PIT,606,16.829752066115702,35.31353135313531
LCK-SFB,726,21.439226519337016,35.12396694214876
BLV-PGD,839,25.927884615384617,35.041716328963055
ORF-FLL,959,30.39622641509434,34.932221063607926
FNT-PGD,1175,19.154305200341007,34.72340425531915
BIL-LAS,568,21.922535211267604,34.683098591549296
PIE-BNA,649,22.94090202177294,34.66872110939907
MCO-BQN,4058,20.84168930600148,34.54903893543618
PGD-TYS,785,23.194622279129323,34.394904458598724
FLL-AVL,2710,23.080710847834137,34.391143911439116
JFK-ONT,1206,11.476627712854757,34.32835820895522
ALB-PGD,580,19.975778546712803,34.310344827586206
DFW-GEG,2731,23.95487894350697,34.30977663859392
IAH-ASE,2500,23.877824267782426,34.239999999999995
IAG-PGD,812,21.73167701863354,34.23645320197045
MCO-ONT,860,17.203271028037385,34.06976744186046
TVC-DFW,737,22.635374149659864,34.05698778833107
BQN-MCO,4056,20.409819886503826,34.048323471400394
SJC-JFK,725,28.939058171745152,33.793103448275865
LAX-BUF,796,15.626262626262626,33.54271356783919
FLL-ORF,963,23.84045881126173,33.54101765316719
SAT-BOS,1065,21.708056872037915,33.52112676056338
MFR-LAS,776,30.871134020618555,33.50515463917525
MDT-PGD,603,17.314475873544094,33.499170812603644
MIA-DAL,2033,16.601874691662555,33.49729463846533
SMF-JFK,1257,25.40159362549801,33.49244232299125
DCA-BTR,500,13.863453815261044,33.4
STL-OAK,840,11.278571428571428,33.33333333333333
CLT-ONT,1077,14.728119180633147,33.33333333333333
FLL-ALB,1617,19.64516129032258,33.33333333333333
SMX-LAS,602,31.11794019933555,33.222591362126245
ONT-JFK,1201,27.6325,33.22231473771857
FLL-SAN,1590,13.834600760456274,33.20754716981132
PGD-FNT,1175,20.031596925704527,33.191489361702125
CMH-SFO,907,19.36685082872928,33.18632855567806
ASE-IAH,2446,22.021846661170652,33.074407195421095
SAN-FLL,1593,26.935031847133757,33.01946013810421
FLL-LEX,588,20.515358361774744,32.99319727891156
HGR-SFB,555,23.82162162162162,32.972972972972975
MDW-DFW,1242,17.49717057396928,32.930756843800324
BIL-AZA,766,19.484967320261436,32.89817232375979
EYW-IAH,529,27.777142857142856,32.89224952741021
BLV-SFB,664,20.86897590361446,32.831325301204814
SRQ-CLE,678,22.15805022156573,32.743362831858406
DFW-BUF,2199,18.607843137254903,32.74215552523875
ROA-SFB,553,20.297101449275363,32.730560578661844
LEX-PGD,774,19.97922077922078,32.68733850129199
TOL-PGD,615,14.810766721044045,32.6829268292683
XNA-SFB,640,23.6890625,32.65625
MSO-LAS,527,26.9696394686907,32.63757115749525
FLL-BQN,1557,15.434362934362934,32.62684649967887
DFW-EUG,1242,21.22977346278317,32.52818035426731
SDF-SFB,645,23.28348909657321,32.4031007751938
ORH-FLL,1131,21.372881355932204,32.360742705570296
SNA-BOI,597,26.369747899159663,32.32830820770519
AVL-FLL,2712,21.998146088246198,32.30088495575221
PSC-AZA,613,16.833605220228385,32.30016313213703
SDF-FLL,1468,16.8133971291866,32.28882833787466
DFW-MDW,1242,21.303225806451614,32.2866344605475
TPA-SAN,518,14.725338491295938,32.239382239382245
MIA-SAN,1772,19.888509670079635,32.223476297968396
MDT-SFB,1270,22.695343330702446,32.20472440944882
MSY-SAN,681,11.455081001472754,32.158590308370044
CLE-SRQ,677,17.144970414201183,32.05317577548006
SFB-BNA,659,19.3531202435312,32.01820940819423
FLL-PHX,1757,11.873142857142858,31.92942515651679
DSM-PGD,712,22.22425952045134,31.88202247191011
FWA-PIE,824,16.25456760048721,31.79611650485437
MYR-ABE,631,25.524642289348172,31.695721077654515
FLL-TTN,587,19.788659793814432,31.686541737649065
BRW-ANC,1708,14.092505854800937,31.67447306791569
DEN-ECP,562,11.431127012522362,31.672597864768683
PNS-FLL,821,19.091687041564793,31.668696711327648
MEM-LAS,2278,16.67574692442882,31.65057067603161
SFB-CVG,1718,21.019801980198018,31.60651920838184
ASE-DFW,4540,25.696686680008895,31.541850220264315
DFW-ANC,1342,16.10112359550562,31.520119225037256
BUF-LAX,790,13.67432950191571,31.518987341772153
RFD-SFB,606,19.61487603305785,31.51815181518152
XNA-LAS,641,19.6140625,31.513260530421217
JAX-AUS,934,18.877813504823152,31.47751605995717
FNT-SRQ,623,17.35473515248796,31.46067415730337
DEN-ORF,2381,15.034569983136594,31.45737085258295
FNT-SFB,1116,15.004484304932735,31.451612903225808
PGD-AVL,983,18.65714285714286,31.434384537131233
BET-ANC,3284,11.792567773378009,31.394640682095005
FLL-SAT,880,12.515393386545039,31.363636363636367
DEN-BUF,1958,12.325819672131148,31.3585291113381
BOS-SJU,7544,14.105759023354565,31.336161187698835
JFK-BUR,1567,8.28031290743155,31.333758774728782
PBI-AVL,532,19.316981132075473,31.203007518796994
PIE-TYS,1709,19.90797186400938,31.187829139847867
SRQ-FNT,623,15.636655948553054,31.13964686998395
BNA-PIE,646,21.29192546583851,31.11455108359133
CHS-LAX,540,13.594444444444445,31.11111111111111
SRQ-JFK,1657,19.022397094430993,31.080265540132768
EYW-LGA,1378,19.01640566741238,31.059506531204644
ECP-DEN,557,19.060329067641682,31.05924596050269
PWM-MDW,680,15.33578792341679,31.029411764705884
IAG-PIE,558,16.915619389587075,31.00358422939068
USA-SFB,1026,20.1689453125,30.994152046783626
LAS-FLL,4336,17.219140083217752,30.973247232472325
USA-PGD,536,17.49343339587242,30.970149253731343
SDF-PGD,604,17.70149253731343,30.960264900662253
SJU-RDU,1809,18.36524626452684,30.956329463792148
GSP-SFB,504,17.76388888888889,30.952380952380953
MCO-PNS,1135,15.142100617828774,30.92511013215859
DFW-MDT,1673,24.426514697060586,30.90257023311417
ATW-PGD,670,14.28998505231689,30.895522388059703
PIE-FNT,1101,13.90419708029197,30.881017257039055
STT-MCO,1898,16.81192660550459,30.874604847207586
BQN-EWR,1397,19.91588785046729,30.851825340014315
DCA-AUS,1569,10.01594387755102,30.847673677501593
SBN-PGD,817,15.22140221402214,30.84455324357405
CVG-SAV,811,21.27351485148515,30.826140567200987
SNA-BNA,889,10.861016949152543,30.821147356580425
EGE-JFK,503,20.682,30.81510934393638
EYW-DFW,2449,23.10996705107084,30.78807676602695
PIE-CVG,1829,18.934354485776804,30.781848004373973
FLL-CHS,1956,16.890657084188913,30.725971370143153
AVL-MSP,596,14.188552188552189,30.70469798657718
RFD-PGD,818,24.42874692874693,30.684596577017114
ORH-MCO,587,17.998278829604132,30.664395229982965
PGD-BNA,698,20.84813753581662,30.659025787965614
SAN-TPA,519,12.388781431334623,30.63583815028902
LEX-SFB,1003,22.73926073926074,30.608175473579262
MCO-HPN,4624,19.949433304272013,30.579584775086506
DSM-SFB,753,20.18157543391188,30.54448871181939
JFK-SJC,724,6.777777777777778,30.52486187845304
MDW-ROC,1305,12.76840490797546,30.498084291187737
PSM-PGD,774,18.126778783958603,30.490956072351423
PGD-ATW,670,18.566066066066067,30.447761194029848
RAP-AZA,776,16.712258064516128,30.412371134020617
JFK-PBI,8307,14.850277710697899,30.408089563019143
SFB-DSM,754,17.695478723404257,30.371352785145888
SRQ-CVG,1235,18.57177615571776,30.364372469635626
SFB-TYS,2309,13.751951431049436,30.35946297098311
LAS-XNA,643,11.534267912772586,30.326594090202175
DEN-ALB,822,13.294762484774665,30.29197080291971
AZA-CVG,519,12.725338491295938,30.2504816955684
PSE-MCO,2317,14.508862948551664,30.211480362537763
LAS-PSP,2242,11.016532618409293,30.196253345227476
FLL-LAS,4354,12.010126582278481,30.179145613229213
SFB-FNT,1117,14.06199460916442,30.170098478066247
ATL-ANC,524,13.791187739463602,30.15267175572519
HOU-MKE,502,10.6686626746507,30.0796812749004
RAP-LAS,539,16.34322820037106,30.0556586270872
VPS-CVG,1767,18.737946681792398,30.050933786078097
DFW-ECP,4311,19.993254245173297,30.039434006031087
MSO-AZA,594,14.681281618887015,29.96632996632997
LAS-ATW,592,11.900169204737733,29.898648648648653
IAH-EYW,532,11.316981132075473,29.887218045112785
LAS-TYS,512,15.357563850687622,29.8828125
PGD-IND,1091,16.47426470588235,29.88084326306141
SRQ-GRR,657,14.403669724770642,29.832572298325722
PSC-LAS,597,15.88107202680067,29.81574539363484
DEN-BDL,3091,13.224781057411612,29.79618246522161
CLT-SMF,1636,13.999386503067484,29.706601466992666
MDW-ORF,2251,11.966592427616927,29.631274988893825
TOL-SFB,520,22.740384615384617,29.615384615384617
LAS-GRR,1014,18.242094861660078,29.585798816568047
HNL-JFK,2117,7.587142857142857,29.570146433632498
FNT-PIE,1100,14.957952468007313,29.545454545454547
MIA-OKC,1012,12.1441351888668,29.545454545454547
IAH-JFK,1924,19.270496083550913,29.521829521829524
DAL-SRQ,627,13.123595505617978,29.505582137161085
FLL-ISP,1249,13.57865168539326,29.46357085668535
GRI-LAS,516,13.366279069767442,29.457364341085274
BOI-SNA,595,15.559663865546218,29.411764705882355
EUG-AZA,561,18.6625,29.411764705882355
ANC-DFW,1340,25.27218045112782,29.402985074626862
TOL-PIE,592,19.857385398981325,29.39189189189189
DFW-BDL,2288,12.8638353765324,29.37062937062937
PIE-PIT,675,15.693333333333333,29.333333333333332
ECP-ORD,525,14.315487571701722,29.333333333333332
FLL-JAX,2418,15.39676616915423,29.3217535153019
HNL-ONT,1365,9.654665686994857,29.304029304029307
SGF-SFB,727,19.46831955922865,29.298486932599726
PHX-FLL,1752,13.49570692615913,29.28082191780822
BOS-PBI,7481,13.090799356223176,29.2741612083946
FLL-AUS,4902,11.886977886977887,29.27376580987352
BTV-DEN,509,20.514056224899598,29.273084479371313
MDW-VPS,513,15.302734375,29.239766081871345
DEN-AVL,821,18.190243902439025,29.232643118148598
MIA-STL,3881,13.826749289956107,29.219273383148675
EYW-PHL,1920,23.08613445378151,29.21875
FLL-PVD,2040,13.016765285996055,29.215686274509807
ORD-ASE,4046,19.48186798852074,29.21403855659911
EWR-SJU,10504,13.614834588616645,29.207920792079207
FLL-SYR,555,14.950909090909091,29.18918918918919
BDL-LAX,799,13.141752577319588,29.161451814768462
MDW-BDL,3040,11.192231731402238,29.144736842105264
DCA-CAK,1407,18.728307254623044,29.14001421464108
TPA-HPN,1493,17.11657681940701,29.13596784996651
DFW-TVC,738,12.271370420624152,29.132791327913278
TTN-ATL,1181,15.640677966101695,29.127857747671467
LCK-PIE,673,16.386904761904763,29.123328380386333
DEN-ATW,1566,13.54996776273372,29.118773946360154
LCK-SRQ,512,15.141453831041257,29.1015625
ASE-SFO,1323,18.904328018223236,29.100529100529098
AVL-PGD,983,16.904179408766566,29.094608341810783
MSP-AVL,599,13.585284280936454,29.04841402337229
BNA-SFB,661,20.76783004552352,29.046898638426626
SYR-SFB,513,16.74609375,29.0448343079922
LAS-LIH,1095,7.268151016456922,29.041095890410958
SFB-GRR,1729,17.810075275043427,29.034123770965873
HNL-PDX,3236,10.392205381998144,29.017305315203956
SYR-MCO,2982,15.87504210171775,29.007377598926894
MDW-MHT,2328,10.462166809974205,28.994845360824744
PGD-GRR,1252,18.764,28.993610223642175
MDW-SFO,1405,10.824160114367405,28.96797153024911
FLL-RIC,3479,16.081415420023013,28.945099166427134
MIA-SAT,1972,13.339776195320448,28.904665314401623
CVG-AZA,519,12.8131021194605,28.901734104046245
MCO-SYR,3007,17.075358452817607,28.899235118057863
EYW-IAD,699,21.175695461200586,28.898426323319025
RIC-MCO,3700,16.063991323210413,28.89189189189189
FLL-IND,4204,14.348333333333333,28.877259752616556
BZN-BNA,589,14.977777777777778,28.862478777589136
MIA-SFO,5680,12.92363443521301,28.8556338028169
SFB-AVL,2223,15.367088607594937,28.834907782276204
EWR-MSN,1191,10.914285714285715,28.79932829554996
AUS-SNA,2479,11.514551333872271,28.76159741831384
AUS-RNO,880,12.868119266055047,28.749999999999996
FLL-USA,1302,17.063944530046225,28.72503840245776
AZA-DSM,749,9.690860215053764,28.704939919893192
PSP-LAS,2227,11.619154676258994,28.69330938482263
ATL-ASE,865,16.66959798994975,28.670520231213874
TTN-PBI,1200,11.584448160535118,28.666666666666668
BWI-SJU,5691,10.589508889280056,28.64171498857846
PBI-JFK,8298,14.745289855072464,28.62135454326344
MIA-OMA,594,13.916949152542372,28.619528619528616
PVD-PBI,1273,12.533438237608182,28.59387274155538
DAL-MKE,1462,9.987645847632121,28.59097127222982
BLV-PIE,763,17.728346456692915,28.57142857142857
BNA-PGD,697,23.810071942446044,28.55093256814921
CLT-SFO,6445,11.319003115264797,28.549262994569435
PHX-ASE,659,14.8984375,28.528072837632777
MDW-SNA,596,8.83108108108108,28.523489932885905
